====================================================
=     BMC SDR after KSB Manufacture Test Phase2    =
====================================================
Chassis Serial Number: 516-22011400300007
========== BMC SDR ==========
===== BMC SDR check PASS =====
K0_R1_VUSER1_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER2_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R1_VUSER3_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER0_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER1_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER2_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K0_R2_VUSER3_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_Presence      | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        [PASS]
K1_U4_Alarm      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R0_FLAG_0     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R0_FLAG_1     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R1_FLAG_0     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R1_FLAG_1     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R2_FLAG_0     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
K1_R2_FLAG_1     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_DIMM0    | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_K1_DIMM1    | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_K1_S0_SSD0  | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        [PASS]
TEMP_K1_S0_SSD1  | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        [PASS]
TEMP_K1_S1_SSD0  | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        [PASS]
TEMP_K1_S1_SSD1  | 29.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        [PASS]
TEMP_K1_R0       | 38.000     | degrees C  | ok    | na        | na        | na        | na        | 100.000   | na        [PASS]
TEMP_K1_R1       | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 100.000   | na        [PASS]
TEMP_K1_R2       | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 100.000   | na        [PASS]
TEMP_K1_R0_Max   | 39.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_R1_Max   | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_R2_Max   | 37.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_R0_Min   | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_R1_Min   | 35.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
TEMP_K1_R2_Min   | 35.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_12V           | 12.540     | Volts      | ok    | na        | 11.040    | na        | na        | 12.600    | na        [PASS]
K1_VREFP         | 1.240      | Volts      | ok    | na        | 1.230     | na        | na        | 1.260     | na        [PASS]
K1_VREFN         | 0.000      | Volts      | ok    | na        | na        | na        | na        | 0.001     | na        [PASS]
K1_5V            | 4.770      | Volts      | ok    | na        | 4.590     | na        | na        | 5.250     | na        [PASS]
K1_3V3           | 3.280      | Volts      | ok    | na        | 3.120     | na        | na        | 3.480     | na        [PASS]
K1_S0_600mV_VTT  | 0.609      | Volts      | ok    | na        | 0.582     | na        | na        | 0.618     | na        [PASS]
K1_S1_600mV_VTT  | 0.603      | Volts      | ok    | na        | 0.582     | na        | na        | 0.618     | na        [PASS]
K1_VCCINT_IMON   | 0.090      | Volts      | ok    | na        | na        | na        | na        | 1.120     | na        [PASS]
K1_R0_VCCINT     | 0.848      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K1_R0_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K1_R0_VCCAUX     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K1_R0_VUSER0     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K1_R0_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K1_R0_VUSER2     | 1.830      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K1_R0_VUSER3     | 1.830      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K1_R1_VCCINT     | 0.856      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K1_R1_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K1_R1_VCCAUX     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K1_R1_VUSER0     | 1.200      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K1_R1_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K1_R1_VUSER2     | 1.200      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K1_R1_VUSER3     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K1_R2_VCCINT     | 0.856      | Volts      | ok    | na        | 0.824     | na        | na        | 0.872     | na        [PASS]
K1_R2_VCCBRAM    | 0.848      | Volts      | ok    | na        | 0.832     | na        | na        | 0.868     | na        [PASS]
K1_R2_VCCAUX     | 1.820      | Volts      | ok    | na        | 1.740     | na        | na        | 1.860     | na        [PASS]
K1_R2_VUSER0     | 1.190      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K1_R2_VUSER1     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K1_R2_VUSER2     | 1.200      | Volts      | ok    | na        | 1.150     | na        | na        | 1.250     | na        [PASS]
K1_R2_VUSER3     | 0.840      | Volts      | ok    | na        | 0.824     | na        | na        | 0.868     | na        [PASS]
K1_VCCINT_Max    | 0.852      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_VCCBRAM_Max   | 0.852      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_VCCAUX_Max    | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER0_Max | 0.844      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER1_Max | 0.844      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER2_Max | 1.830      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER3_Max | 1.830      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER0_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER1_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER2_Max | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER3_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER0_Max | 1.210      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER1_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER2_Max | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER3_Max | 0.840      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_VCCINT_Min    | 0.848      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_VCCBRAM_Min   | 0.844      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_VCCAUX_Min    | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER0_Min | 0.836      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER1_Min | 0.836      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER2_Min | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R0_VUSER3_Min | 1.820      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER0_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER1_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER2_Min | 1.200      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R1_VUSER3_Min | 0.836      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER0_Min | 1.180      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER1_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER2_Min | 1.190      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
K1_R2_VUSER3_Min | 0.832      | Volts      | ok    | na        | na        | na        | na        | na        | na        [PASS]
